Наименование,МСК
Картотека AFC-02,14965
Картотека AFC-03,20285
Картотека AFC-04,25115
Картотека AFC-05,27185
Картотека AFC-06,25975
Картотека AFC-06С,26175
Картотека AFC-07,31815
Картотека AFC-09C,39105
Картотека A-42,12285
Картотека A-42C,13790
Картотека A-43,16185
Картотека A-44,20315
Картотека A0-05/0 (база),56105
Картотека A0-05/1 (верх),56105
Картотека A0-05/2 (промеж.секция),56105
Картотека A0-05/3  (низ),56105
Картотека A1-05/0 (база),37395
Картотека A1-05/1 (верх),37395
Картотека A1-05/2 (промеж.секция),37395
Картотека A1-05/3 (низ),37395
Шкаф AM 0891,10175
Шкаф AM 1891,15875
Шкаф AM 1891/2U,22115
Шкаф AM 1891/SG,36610
Шкаф AM 1845,11775
Шкаф AM 1845/4,14775
Шкаф AM 2091 (4 полки),22075
Шкаф M-08,9075
Шкаф M-14,11875
Шкаф M-18,13675
Шкаф AMT 0891,13545
Шкаф AMT 0812,17935
Шкаф AMT 1891,21155
Шкаф AMT 1812,27935
Шкаф для раздевалок усиленный ML-11-30,5695
Шкаф для раздевалок усиленный ML-01-30 доп модуль,4595
Шкаф для раздевалок усиленный ML-01-30 доп модуль (2шт),8885
Шкаф для раздевалок усиленный ML-01-30У доп модуль,5595
Шкаф для раздевалок усиленный ML-21-60,9995
Шкаф для раздевалок усиленный ML-11-40 базовый модуль,6855
Шкаф для раздевалок усиленный ML-01-40 доп модуль,5855
Шкаф для раздевалок усиленный ML-01-40 доп модуль (2шт),11405
Шкаф для раздевалок усиленный ML-11-50 базовый модуль,9535
Шкаф для раздевалок усиленный ML-11-50У универсальный,8735
Шкаф для раздевалок усиленный ML-12-30 базовый модуль,7265
Шкаф для раздевалок усиленный ML-02-30 доп модуль,6265
Шкаф для раздевалок усиленный ML-12-40 базовый модуль,8585
Шкаф для раздевалок усиленный ML-02-40 доп модуль,7585
Шкаф для раздевалок усиленный ML-14-30 базовый модуль,9035
Шкаф для раздевалок усиленный ML-04-30 доп модуль,8035
Шкаф для раздевалок усиленный ML-04-30 доп модуль (2шт),15765
Шкаф для раздевалок антивандальный MLH-11-30,6525
Шкаф для раздевалок антивандальный MLH-01-30 доп модуль,5345
Шкаф для раздевалок антивандальный MLH-21-60,11495
Сейф FRS-30.CL,14890
Сейф FRS-30.KL,14390
Сейф FRS-30.EL,16390
Сейф FRS-32 CL,16290
Сейф FRS-32 KL,15790
Сейф FRS-32 EL,17790
Сейф FRS-36.СL,17590
Сейф FRS-36.KL,17090
Сейф FRS-36.EL,19090
Сейф FRS-49.СL,18990
Сейф FRS-49.KL,18490
Сейф FRS-49.EL,20490
Сейф FRS-51.CL,20100
Сейф FRS-51.KL,19600
Сейф FRS-51.EL,21600
Сейф FRS-66 T-CL,35290
Сейф FRS-66 T-KL,34790
Сейф FRS-66 T-EL,36790
Сейф FRS-73.T-CL,36290
Сейф FRS-73.T-KL,35790
Сейф FRS-73.T-EL,37790
Сейф FRS-80.T-CL,41290
Сейф FRS-80.T-KL,40790
Сейф FRS-80.T-EL,42790
Сейф FRS-99.T-CL,50790
Сейф FRS-99.T-KL,50290
Сейф FRS-99.T-EL,52290
Сейф FRS-127.T-CL,119500
Сейф FRS-127.T-KL,119000
Сейф FRS-127.T-EL,121000
Сейф FRS-140.T-CL,129500
Сейф FRS-140.T-KL,129000
Сейф FRS-140.T-EL,131000
Сейф FRS-173.T-CL,149500
Сейф FRS-173.T-KL,149000
Сейф FRS-173.T-EL,151000
Сейф Гарант-32,31590
Сейф Гарант-32.EL,36590
Сейф Гарант-49,32390
Сейф Гарант-49 EL,37390
Сейф Гарант-46,41590
Сейф Гарант-46.EL,46590
Сейф Гарант-67T,51690
Сейф Гарант-67T.EL,56690
Сейф Гарант-95T,71890
Сейф Гарант-95T.EL,76890
Сейф Гарант Евро-46,68090
Сейф Гарант Евро-46.EL,73090
Сейф Гарант Евро-67Т,89090
Сейф Гарант Евро-67Т.EL,94090
Сейф Гарант Евро-95T,108890
Сейф Гарант Евро-95T.EL,113890
Сейф Гарант Евро-120T,153590
Сейф Гарант Евро-120T.EL,158590
Сейф Гарант Евро-133Т,178790
Сейф Гарант Евро-133Т.EL,183790
Сейф Гарант Евро-165Т,207690
Сейф Гарант Евро-165Т.EL,212690
Сейф Гарант Евро-67,62990
Сейф Гарант Евро-67.EL,68990
Сейф Гарант Евро-95.EL,105790
Сейф ASM.25,12190
Сейф ASM.25-CL,14190
Сейф ASM.25-EL,17190
Сейф ASM.28,13490
Сейф ASM.30,15290
Сейф ASM.30-CL,17290
Сейф ASM.30-EL,20290
Сейф ASM.46,18390
Сейф ASM.46-EL,23390
Сейф ASM.63T,23990
Сейф ASM.63T-CL,25990
Сейф ASM.63T-EL,28990
Сейф ASM.90T,31990
Сейф ASM.90T-EL,36990
Сейф ASM.90/2,34990
Сейф ASM.120T,44790
Сейф ASM.120T-CL,46790
Сейф ASM.120T-EL,49790
Сейф ASM.120T/2,54390
Сейф ASM.63,23990
Сейф ASM.120,44790
Сейф ASM.120/2,54390
Сейф T-140 KL,2790
Сейф T-140 EL,4290
Сейф T-170 KL,2990
Сейф T-170 EL,4490
Сейф T-200 KL,3690
Сейф T-200 EL,5190
Сейф T-230 KL,3890
Сейф T-230 EL,5390
Сейф T-250 KL,4190
Сейф T-250 EL,5690
Сейф T-280 KL,4890
Сейф T-280 EL,6390
Сейф T-17,3490
Сейф T-17.EL,4990
Сейф T-23,4190
Сейф T-23.EL,5690
Сейф T-28,5190
Сейф T-28.EL,6690
Сейф T-40,7690
Сейф T-40.EL,9190
Сейф TM.25,8190
Сейф TM.25 EL,9190
Сейф TM.30,9290
